time,x,y,z,quadrant
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.05,0.0000,-0.0000,-1.0000,0
0.18,0.0000,-0.0000,-1.0000,0
0.23,0.0000,-0.0000,-1.0000,0
0.30,0.0000,-0.0000,-1.0000,0
0.48,0.0000,-0.0000,-1.0000,0
0.51,0.0000,-0.0000,-1.0000,0
0.62,0.0000,-0.0000,-1.0000,0
0.72,0.0000,-0.0000,-1.0000,0
0.81,0.0000,-0.0000,-1.0000,0
0.90,0.0000,-0.0000,-1.0000,0
1.02,0.0000,-0.0000,-1.0000,0
1.16,0.0000,-0.0000,-1.0000,0
1.23,0.0000,-0.0000,-1.0000,0
1.34,0.0000,-0.0000,-1.0000,0
1.46,0.0000,-0.0000,-1.0000,0
1.50,0.0000,-0.0000,-1.0000,0
1.60,0.0000,-0.0000,-1.0000,0
1.70,0.0000,-0.0000,-1.0000,0
1.80,0.0000,-0.0000,-1.0000,0
1.90,0.0000,-0.0000,-1.0000,0
2.00,0.0000,-0.0000,-1.0000,0
2.10,0.0000,-0.0000,-1.0000,0
2.20,0.0000,-0.0000,-1.0000,0
2.30,0.0000,-0.0000,-1.0000,0
2.40,0.0000,-0.0000,-1.0000,0
2.50,0.0000,-0.0000,-1.0000,0
2.60,0.0000,-0.0000,-1.0000,0
2.70,0.0000,-0.0000,-1.0000,0
2.80,0.0000,-0.0000,-1.0000,0
2.90,0.0000,-0.0000,-1.0000,0
3.00,0.0000,-0.0000,-1.0000,0
3.10,0.0000,-0.0000,-1.0000,0
3.20,0.0000,-0.0000,-1.0000,0
3.30,0.0000,-0.0000,-1.0000,0
3.40,0.0000,-0.0000,-1.0000,0
3.50,0.0000,-0.0000,-1.0000,0
3.60,0.0000,-0.0000,-1.0000,0
3.70,0.0000,-0.0000,-1.0000,0
3.80,0.0000,0.0425,-0.9991,0
3.90,0.0065,0.4121,-0.9111,2
4.00,-0.0171,0.7958,-0.6053,0
4.10,-0.0152,0.9333,-0.3587,0
4.20,-0.0079,0.9937,-0.1119,0
4.30,-0.0000,1.0000,-0.0000,0
4.40,-0.0000,1.0000,-0.0000,0
4.50,-0.0000,1.0000,-0.0000,0
4.60,-0.0000,1.0000,-0.0000,0
4.70,-0.0000,1.0000,-0.0000,0
4.80,-0.0000,1.0000,-0.0000,0
4.90,-0.0000,1.0000,-0.0000,0
5.00,-0.0000,1.0000,-0.0000,0
5.10,-0.0000,1.0000,-0.0000,0
5.21,-0.0000,1.0000,-0.0000,0
5.30,-0.0000,1.0000,-0.0000,0
5.41,-0.0000,1.0000,-0.0000,0
5.52,-0.0000,1.0000,-0.0000,0
5.61,-0.0000,1.0000,-0.0000,0
5.71,-0.0000,1.0000,-0.0000,0
5.80,-0.0000,1.0000,-0.0000,0
5.91,-0.0000,1.0000,-0.0000,0
6.01,-0.0000,1.0000,-0.0000,0
6.11,-0.0000,1.0000,-0.0000,0
6.21,-0.0000,1.0000,-0.0000,0
6.30,-0.0007,1.0000,-0.0070,0
6.41,-0.0035,0.9994,-0.0352,0
6.50,-0.0035,0.9994,-0.0352,0
6.61,-0.0035,0.9994,-0.0352,0
6.70,-0.0035,0.9994,-0.0352,0
6.81,-0.0035,0.9994,-0.0352,0
6.91,-0.0035,0.9994,-0.0352,0
7.00,-0.0035,0.9994,-0.0352,0
7.10,-0.0035,0.9994,-0.0352,0
7.21,-0.0211,0.9844,-0.1748,0
7.31,-0.0958,0.7866,-0.6100,0
7.41,-0.1286,0.5595,-0.8188,0
7.50,-0.1477,0.3056,-0.9406,0
7.60,-0.1501,0.2513,-0.9562,0
7.71,-0.1507,0.2375,-0.9596,0
7.80,-0.1507,0.2375,-0.9596,0
7.91,-0.1517,0.2099,-0.9659,0
8.00,-0.1534,0.1472,-0.9771,0
8.10,-0.1545,0.0910,-0.9838,0
8.21,-0.1547,0.0699,-0.9855,0
8.31,-0.1547,0.0699,-0.9855,0
8.41,-0.1547,0.0699,-0.9855,0
8.50,-0.1547,0.0699,-0.9855,0
8.60,-0.1547,0.0699,-0.9855,0
8.70,-0.1547,0.0699,-0.9855,0
8.81,-0.1547,0.0699,-0.9855,0
8.90,-0.1547,0.0699,-0.9855,0
9.00,-0.1547,0.0699,-0.9855,0
9.11,-0.1547,0.0699,-0.9855,0
9.20,-0.1547,0.0699,-0.9855,0
9.31,-0.1547,0.0699,-0.9855,0
9.40,-0.1547,0.0699,-0.9855,0
9.50,-0.1547,0.0699,-0.9855,0
9.60,-0.1547,0.0699,-0.9855,0
9.71,-0.1547,0.0699,-0.9855,0
9.80,-0.1547,0.0699,-0.9855,0
9.91,-0.1547,0.0699,-0.9855,0
10.00,-0.1547,0.0699,-0.9855,0
10.11,-0.1547,0.0699,-0.9855,0
10.21,-0.1547,0.0699,-0.9855,0
10.30,-0.1547,0.0699,-0.9855,0
10.41,-0.1547,0.0699,-0.9855,0
10.54,-0.1547,0.0699,-0.9855,0
10.61,-0.1547,0.0699,-0.9855,0
10.70,-0.1547,0.0699,-0.9855,0
10.82,-0.1547,0.0699,-0.9855,0
10.90,-0.1547,0.0699,-0.9855,0
11.00,-0.1547,0.0699,-0.9855,0
11.11,-0.1547,0.0699,-0.9855,0
11.20,-0.1547,0.0699,-0.9855,0
11.31,-0.1341,0.0133,-0.9909,0
11.41,-0.1271,-0.0080,-0.9919,4
11.50,-0.1201,-0.0080,-0.9927,4
11.61,-0.1200,-0.0221,-0.9925,4
11.70,-0.1200,-0.0221,-0.9925,4
11.81,-0.0778,-0.0221,-0.9967,4
11.91,-0.0354,-0.0434,-0.9984,4
12.01,-0.0141,-0.0504,-0.9986,4
12.11,-0.0141,-0.0504,-0.9986,4
12.20,-0.0141,-0.0504,-0.9986,4
12.31,-0.0141,-0.0504,-0.9986,4
12.40,-0.0141,-0.0504,-0.9986,4
12.51,-0.0141,-0.0504,-0.9986,4
12.61,-0.0141,-0.0504,-0.9986,4
12.71,-0.0141,-0.0504,-0.9986,4
12.81,-0.0141,-0.0504,-0.9986,4
12.90,-0.0141,-0.0504,-0.9986,4
13.01,-0.0141,-0.0504,-0.9986,4
13.10,-0.0141,-0.0504,-0.9986,4
13.21,-0.0141,-0.0504,-0.9986,4
13.31,-0.0141,-0.0504,-0.9986,4
13.41,-0.0141,-0.0504,-0.9986,4
13.51,-0.0141,-0.0504,-0.9986,4
13.60,-0.0141,-0.0504,-0.9986,4
13.71,-0.0141,-0.0504,-0.9986,4
13.80,-0.0141,-0.0504,-0.9986,4
13.91,-0.0141,-0.0504,-0.9986,4
14.01,-0.0141,-0.0504,-0.9986,4
14.11,-0.0141,-0.0504,-0.9986,4
14.21,-0.0141,-0.0504,-0.9986,4
14.31,-0.0141,-0.0504,-0.9986,4
14.41,-0.0141,-0.0504,-0.9986,4
14.50,-0.0141,-0.0504,-0.9986,4
14.61,-0.0141,-0.0504,-0.9986,4
14.70,-0.0141,-0.0504,-0.9986,4
14.81,-0.0141,-0.0504,-0.9986,4
14.91,-0.0141,-0.0504,-0.9986,4
15.01,-0.0141,-0.0504,-0.9986,4
15.11,-0.0141,-0.0504,-0.9986,4
15.20,-0.0141,-0.0504,-0.9986,4
15.31,-0.0141,-0.0504,-0.9986,4
15.40,-0.0141,-0.0504,-0.9986,4
15.51,-0.0141,-0.0504,-0.9986,4
15.61,-0.0141,-0.0504,-0.9986,4
15.71,-0.0141,-0.0504,-0.9986,4
15.81,-0.0141,-0.0504,-0.9986,4
15.90,-0.0141,-0.0504,-0.9986,4
16.01,-0.0141,-0.0504,-0.9986,4
16.10,-0.0141,-0.0504,-0.9986,4
16.21,-0.0141,-0.0504,-0.9986,4
16.31,-0.0141,-0.0504,-0.9986,4
16.41,-0.0141,-0.0504,-0.9986,4
16.51,-0.0141,-0.0504,-0.9986,4
16.60,-0.0141,-0.0504,-0.9986,4
16.71,-0.0141,-0.0504,-0.9986,4
16.80,-0.0141,-0.0504,-0.9986,4
16.91,-0.0141,-0.0504,-0.9986,4
17.01,-0.0141,-0.0504,-0.9986,4
17.11,-0.0141,-0.0504,-0.9986,4
17.21,-0.0141,-0.0504,-0.9986,4
17.30,-0.0141,-0.0504,-0.9986,4
17.41,-0.0141,-0.0504,-0.9986,4
17.51,-0.0141,-0.0504,-0.9986,4
17.61,-0.0141,-0.0504,-0.9986,4
17.71,-0.0141,-0.0504,-0.9986,4
17.80,-0.0141,-0.0504,-0.9986,4
17.91,-0.0141,-0.0504,-0.9986,4
18.00,-0.0141,-0.0504,-0.9986,4
18.11,-0.0141,-0.0504,-0.9986,4
18.21,-0.0141,-0.0504,-0.9986,4
18.31,-0.0141,-0.0504,-0.9986,4
18.41,-0.0141,-0.0504,-0.9986,4
18.51,-0.0141,-0.0504,-0.9986,4
18.61,-0.0141,-0.0504,-0.9986,4
18.70,-0.0141,-0.0504,-0.9986,4
18.81,-0.0141,-0.0504,-0.9986,4
18.90,-0.0141,-0.0504,-0.9986,4
19.01,-0.0141,-0.0504,-0.9986,4
19.10,-0.0141,-0.0504,-0.9986,4
19.21,-0.0141,-0.0504,-0.9986,4
19.30,-0.0141,-0.0504,-0.9986,4
19.41,-0.0141,-0.0504,-0.9986,4
19.51,-0.0141,-0.0504,-0.9986,4
19.61,-0.0141,-0.0504,-0.9986,4
19.71,-0.0141,-0.0504,-0.9986,4
19.80,-0.0141,-0.0504,-0.9986,4
19.91,-0.0141,-0.0504,-0.9986,4
20.01,-0.0141,-0.0504,-0.9986,4
20.11,-0.0141,-0.0504,-0.9986,4
20.21,-0.0141,-0.0504,-0.9986,4
20.31,-0.0141,-0.0504,-0.9986,4
20.41,-0.0141,-0.0504,-0.9986,4
20.50,-0.0141,-0.0504,-0.9986,4
20.61,-0.0141,-0.0504,-0.9986,4
20.70,-0.0141,-0.0504,-0.9986,4
20.81,-0.0141,-0.0504,-0.9986,4
