time,x,y,z,quadrant
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.07,0.0000,-0.0000,-1.0000,0
0.16,0.0000,-0.0000,-1.0000,0
0.21,0.0000,-0.0000,-1.0000,0
0.32,0.0000,-0.0000,-1.0000,0
0.43,0.0000,-0.0000,-1.0000,0
0.53,0.0000,-0.0000,-1.0000,0
0.62,0.0000,-0.0000,-1.0000,0
0.74,0.0000,-0.0000,-1.0000,0
0.87,0.0000,-0.0000,-1.0000,0
0.97,0.0000,-0.0000,-1.0000,0
1.03,0.0000,-0.0000,-1.0000,0
1.17,0.0000,-0.0000,-1.0000,0
1.21,0.0000,-0.0000,-1.0000,0
1.31,0.0000,-0.0000,-1.0000,0
1.41,0.0000,-0.0000,-1.0000,0
1.52,0.0000,-0.0000,-1.0000,0
1.61,0.0000,-0.0000,-1.0000,0
1.71,0.0000,-0.0000,-1.0000,0
1.82,0.0000,-0.0000,-1.0000,0
1.91,0.0000,-0.0000,-1.0000,0
2.02,0.0000,-0.0000,-1.0000,0
2.12,0.0000,-0.0000,-1.0000,0
2.22,0.0000,-0.0000,-1.0000,0
2.32,0.0000,-0.0000,-1.0000,0
2.42,0.0000,-0.0000,-1.0000,0
2.52,0.0000,-0.0000,-1.0000,0
2.61,0.0000,-0.0000,-1.0000,0
2.72,0.0000,-0.0000,-1.0000,0
2.82,0.0000,-0.0000,-1.0000,0
2.92,0.0000,-0.0000,-1.0000,0
3.02,0.0000,-0.0000,-1.0000,0
3.12,0.0000,-0.0000,-1.0000,0
3.22,0.0000,-0.0000,-1.0000,0
3.31,0.0000,-0.0000,-1.0000,0
3.42,0.0000,-0.0000,-1.0000,0
3.52,0.0000,-0.0000,-1.0000,0
3.62,0.0000,-0.0000,-1.0000,0
3.72,0.0000,-0.0000,-1.0000,0
3.81,0.0000,-0.0000,-1.0000,0
3.92,0.0000,-0.0000,-1.0000,0
4.01,0.0000,0.0071,-1.0000,0
4.12,0.0000,0.0071,-1.0000,0
4.22,0.1183,-0.1691,-0.9785,6
4.32,0.2297,-0.4121,-0.8817,6
4.42,-0.1127,-0.6871,-0.7177,4
4.52,-0.2817,-0.6557,-0.7006,4
4.61,-0.3122,-0.6230,-0.7172,4
4.71,-0.4303,-0.3992,-0.8096,4
4.82,-0.3456,0.0778,-0.9352,0
4.92,0.2982,0.2315,-0.9260,2
5.01,0.6331,-0.1900,-0.7504,6
5.12,0.6353,-0.5777,-0.5125,6
5.21,0.5098,-0.7556,-0.4112,6
5.32,0.1413,-0.9714,-0.1909,6
5.42,0.0000,-1.0000,-0.0000,6
5.52,-0.0987,-0.9856,-0.1373,4
5.62,-0.8431,-0.4685,-0.2641,4
5.72,-0.6190,0.2803,-0.7336,0
5.82,0.6736,0.3607,-0.6451,2
5.91,0.8867,-0.1402,0.4405,7
6.02,0.5561,-0.7217,0.4123,7
6.11,0.4017,-0.9140,-0.0569,6
6.22,0.3095,-0.8928,-0.3273,6
6.32,0.3849,-0.8587,-0.3384,6
6.42,-0.2563,-0.4933,0.8312,5
6.51,-0.7882,-0.3258,0.5220,5
6.61,-0.6749,-0.3722,-0.6371,4
6.72,-0.1276,-0.2649,0.9558,5
6.81,-0.0801,-0.2649,0.9609,5
6.92,-0.9467,-0.2989,-0.1204,4
7.01,-0.0981,-0.3788,-0.9203,4
7.12,-0.0981,-0.3788,-0.9203,4
7.22,-0.0981,-0.3788,-0.9203,4
7.32,-0.0981,-0.3788,-0.9203,4
7.41,0.4234,-0.4048,-0.8105,6
7.52,0.6019,-0.4433,-0.6642,6
7.62,0.6045,-0.4496,-0.6576,6
7.72,0.5584,-0.4433,-0.7012,6
7.82,0.2366,-0.4560,-0.8580,6
7.91,0.2183,-0.4560,-0.8628,6
8.01,0.1648,-0.3524,-0.9212,6
8.11,0.1569,-0.2513,-0.9551,6
8.22,0.1512,-0.2238,-0.9628,6
8.31,0.0693,-0.2030,-0.9767,6
8.41,0.0554,-0.2030,-0.9776,6
8.52,0.0554,-0.2030,-0.9776,6
8.61,0.0554,-0.2030,-0.9776,6
8.72,0.0554,-0.2030,-0.9776,6
8.81,0.0554,-0.2030,-0.9776,6
8.91,0.0554,-0.2030,-0.9776,6
9.02,0.0554,-0.2030,-0.9776,6
9.12,0.3243,-0.2306,-0.9174,6
9.22,0.9576,-0.2854,-0.0399,6
9.32,0.8622,-0.2581,0.4359,7
9.42,0.5364,-0.1961,0.8209,7
9.53,0.2593,-0.1891,0.9471,7
9.62,0.2593,-0.1891,0.9471,7
9.73,0.2593,-0.1891,0.9471,7
9.81,0.1742,0.0434,0.9838,3
9.91,-0.3036,0.3804,0.8735,1
10.01,-0.3614,0.4000,0.8423,1
10.12,-0.3614,0.4000,0.8423,1
10.21,-0.3614,0.4000,0.8423,1
10.32,-0.3614,0.4000,0.8423,1
10.41,-0.3614,0.4000,0.8423,1
10.52,-0.3614,0.4000,0.8423,1
10.62,-0.3434,0.4000,0.8497,1
10.72,-0.8292,0.3475,0.4379,1
10.82,-0.8609,0.2324,-0.4526,0
10.91,-0.7672,0.2117,-0.6055,0
11.01,-0.3000,0.1420,-0.9433,0
11.11,-0.2332,0.1209,-0.9649,0
11.22,-0.1300,0.0928,-0.9872,0
11.32,0.1024,0.0221,-0.9945,2
11.42,0.1024,0.0221,-0.9945,2
11.52,0.1022,-0.0699,-0.9923,6
11.61,0.1021,-0.0840,-0.9912,6
11.72,0.0739,-0.1051,-0.9917,6
11.81,-0.0526,-0.1262,-0.9906,4
11.92,-0.0667,-0.1262,-0.9898,4
12.03,-0.0737,-0.1262,-0.9893,4
12.11,-0.0737,-0.1262,-0.9893,4
12.22,-0.0737,-0.1262,-0.9893,4
12.32,-0.0737,-0.1262,-0.9893,4
12.41,-0.0737,-0.1262,-0.9893,4
12.52,-0.0737,-0.1262,-0.9893,4
12.62,-0.0737,-0.1262,-0.9893,4
12.71,-0.0737,-0.1262,-0.9893,4
12.81,-0.0737,-0.1262,-0.9893,4
12.92,-0.0737,-0.1262,-0.9893,4
13.01,-0.0737,-0.1262,-0.9893,4
13.12,-0.0737,-0.1262,-0.9893,4
13.21,-0.0737,-0.1262,-0.9893,4
13.32,-0.0737,-0.1262,-0.9893,4
13.42,-0.0737,-0.1262,-0.9893,4
13.51,-0.0737,-0.1262,-0.9893,4
13.62,-0.0737,-0.1262,-0.9893,4
13.71,-0.0737,-0.1262,-0.9893,4
13.82,-0.0737,-0.1262,-0.9893,4
13.91,-0.0737,-0.1262,-0.9893,4
14.02,-0.0737,-0.1262,-0.9893,4
14.11,-0.0737,-0.1262,-0.9893,4
14.22,-0.0737,-0.1262,-0.9893,4
14.32,-0.0737,-0.1262,-0.9893,4
14.42,-0.0737,-0.1262,-0.9893,4
14.52,-0.0737,-0.1262,-0.9893,4
14.61,-0.0737,-0.1262,-0.9893,4
14.72,-0.0737,-0.1262,-0.9893,4
14.81,-0.0737,-0.1262,-0.9893,4
14.92,-0.0737,-0.1262,-0.9893,4
15.01,-0.0737,-0.1262,-0.9893,4
15.11,-0.0737,-0.1262,-0.9893,4
15.21,-0.0737,-0.1262,-0.9893,4
15.33,-0.0737,-0.1262,-0.9893,4
15.41,-0.0737,-0.1262,-0.9893,4
15.51,-0.0737,-0.1262,-0.9893,4
15.61,-0.0737,-0.1262,-0.9893,4
15.71,-0.0737,-0.1262,-0.9893,4
15.82,-0.0737,-0.1262,-0.9893,4
15.91,-0.0737,-0.1262,-0.9893,4
16.02,-0.0737,-0.1262,-0.9893,4
16.11,-0.0737,-0.1262,-0.9893,4
16.21,-0.0737,-0.1262,-0.9893,4
16.31,-0.0737,-0.1262,-0.9893,4
16.41,-0.0737,-0.1262,-0.9893,4
16.51,-0.0737,-0.1262,-0.9893,4
16.61,-0.0737,-0.1262,-0.9893,4
16.73,-0.0737,-0.1262,-0.9893,4
16.81,-0.0737,-0.1262,-0.9893,4
16.91,-0.0737,-0.1262,-0.9893,4
17.01,-0.0737,-0.1262,-0.9893,4
17.11,-0.0737,-0.1262,-0.9893,4
17.21,-0.0737,-0.1262,-0.9893,4
17.31,-0.0737,-0.1262,-0.9893,4
17.41,-0.0737,-0.1262,-0.9893,4
17.51,-0.0737,-0.1262,-0.9893,4
17.61,-0.0737,-0.1262,-0.9893,4
17.71,-0.0737,-0.1262,-0.9893,4
17.81,-0.0737,-0.1262,-0.9893,4
17.91,-0.0737,-0.1262,-0.9893,4
18.01,-0.0737,-0.1262,-0.9893,4
18.11,-0.0737,-0.1262,-0.9893,4
18.21,-0.0737,-0.1262,-0.9893,4
18.31,-0.0737,-0.1262,-0.9893,4
18.41,-0.0737,-0.1262,-0.9893,4
18.51,-0.0737,-0.1262,-0.9893,4
18.61,-0.0737,-0.1262,-0.9893,4
18.71,-0.0737,-0.1262,-0.9893,4
18.81,-0.0737,-0.1262,-0.9893,4
18.91,-0.0737,-0.1262,-0.9893,4
19.01,-0.0737,-0.1262,-0.9893,4
19.11,-0.0737,-0.1262,-0.9893,4
19.21,-0.0737,-0.1262,-0.9893,4
19.31,-0.0737,-0.1262,-0.9893,4
19.41,-0.0737,-0.1262,-0.9893,4
19.51,-0.0737,-0.1262,-0.9893,4
19.61,-0.0737,-0.1262,-0.9893,4
19.71,-0.0737,-0.1262,-0.9893,4
19.81,-0.0737,-0.1262,-0.9893,4
19.91,-0.0737,-0.1262,-0.9893,4
20.01,-0.0737,-0.1262,-0.9893,4
20.11,-0.0737,-0.1262,-0.9893,4
20.21,-0.0737,-0.1262,-0.9893,4
20.31,-0.0737,-0.1262,-0.9893,4
20.41,-0.0737,-0.1262,-0.9893,4
20.51,-0.0737,-0.1262,-0.9893,4
20.61,-0.0737,-0.1262,-0.9893,4
20.71,-0.0737,-0.1262,-0.9893,4
20.81,-0.0737,-0.1262,-0.9893,4
