time,x,y,z
0.0,0.32351384,-0.3428978,-0.8819069
0.1,0.32351384,-0.3428978,-0.8819069
0.2,0.32351384,-0.3428978,-0.8819069
0.30000000000000004,0.32351384,-0.3428978,-0.8819069
0.4,0.32351384,-0.3428978,-0.8819069
0.5,0.3158117,-0.3334871,-0.8882845
0.6000000000000001,0.32581082,-0.32404304,-0.8881686
0.7000000000000001,0.3269105,-0.31456655,-0.8911663
0.8,0.33313394,-0.30246267,-0.8930499
0.9,0.3562056,-0.29168007,-0.88771635
1.0,0.34270027,-0.29043365,-0.893423
1.1,0.34128505,-0.25708055,-0.9041206
1.2000000000000002,0.3526927,-0.23770262,-0.9050444
1.3,0.37360856,-0.22229633,-0.9005559
1.4000000000000001,0.38864353,-0.19205606,-0.9011497
1.5,0.40709627,-0.11807921,-0.9057207
1.6,0.45479953,-0.04343112,-0.8895342
1.7000000000000002,0.47607172,-0.019998666,-0.87917906
1.8,0.47171614,-0.036487136,-0.8809952
1.9000000000000001,0.46557292,-0.0299955,-0.8845011
2.0,0.46298277,-0.0299955,-0.8858596
2.1,0.46298277,-0.0299955,-0.8858596
2.2,0.46298277,-0.0299955,-0.8858596
2.3000000000000003,0.46298277,-0.0299955,-0.8858596
2.4000000000000004,0.46282068,-0.039989334,-0.8855494
2.5,0.46282068,-0.039989334,-0.8855494
2.6,0.46282068,-0.039989334,-0.8855494
2.7,0.45394218,-0.039989334,-0.8901333
2.8000000000000003,0.45798993,-0.039989334,-0.88805753
2.9000000000000004,0.46282068,-0.039989334,-0.8855494
3.0,0.46282068,-0.039989334,-0.8855494
3.1,0.46282068,-0.039989334,-0.8855494
3.2,0.46268937,-0.04653582,-0.8852982
3.3000000000000003,0.46261233,-0.04997917,-0.8851508
3.4000000000000004,0.46261233,-0.04997917,-0.8851508
3.5,0.45926538,-0.04997917,-0.88689196
3.6,0.46261233,-0.04997917,-0.8851508
3.7,0.45373783,-0.04997917,-0.8897326
3.8000000000000003,0.45373783,-0.04997917,-0.8897326
3.9000000000000004,0.45386627,-0.04396727,-0.8899844
4.0,0.45373783,-0.04997917,-0.8897326
4.1000000000000005,0.45373783,-0.04997917,-0.8897326
4.2,0.45373783,-0.04997917,-0.8897326
4.3,0.45373783,-0.04997917,-0.8897326
4.4,0.45373783,-0.04997917,-0.8897326
4.5,0.45373783,-0.04997917,-0.8897326
4.6000000000000005,0.45373783,-0.04997917,-0.8897326
4.7,0.45373783,-0.04997917,-0.8897326
4.800000000000001,0.45373783,-0.04997917,-0.8897326
4.9,0.45373783,-0.04997917,-0.8897326
5.0,0.45373783,-0.04997917,-0.8897326
5.1000000000000005,0.45373783,-0.04997917,-0.8897326
5.2,0.45373783,-0.04997917,-0.8897326
5.300000000000001,0.45373783,-0.04997917,-0.8897326
5.4,0.45382318,-0.046072003,-0.88989997
5.5,0.45373783,-0.04997917,-0.8897326
5.6000000000000005,0.45373783,-0.04997917,-0.8897326
5.7,0.45373783,-0.04997917,-0.8897326
5.800000000000001,0.45373783,-0.04997917,-0.8897326
5.9,0.45373783,-0.04997917,-0.8897326
6.0,0.45373783,-0.04997917,-0.8897326
6.1000000000000005,0.45373783,-0.04997917,-0.8897326
6.2,0.45348808,-0.059964005,-0.8892428
6.300000000000001,0.45348808,-0.059964005,-0.8892428
6.4,0.45348808,-0.059964005,-0.8892428
6.5,0.45348808,-0.059964005,-0.8892428
6.6000000000000005,0.45348808,-0.059964005,-0.8892428
6.7,0.45348808,-0.059964005,-0.8892428
6.800000000000001,0.4533476,-0.06490673,-0.8889674
6.9,0.453193,-0.06994285,-0.88866425
7.0,0.453193,-0.06994285,-0.88866425
7.1000000000000005,0.45769292,-0.059964005,-0.887086
7.2,0.44457313,-0.059964005,-0.8937332
7.300000000000001,0.45373783,-0.04997917,-0.8897326
7.4,0.45373783,-0.04997917,-0.8897326
7.5,0.45373783,-0.04997917,-0.8897326
7.6000000000000005,0.45373783,-0.04997917,-0.8897326
7.7,0.45373783,-0.04997917,-0.8897326
7.800000000000001,0.45373783,-0.04997917,-0.8897326
7.9,0.45373783,-0.04997917,-0.8897326
8.0,0.45373783,-0.04997917,-0.8897326
8.1,0.45373783,-0.04997917,-0.8897326
8.200000000000001,0.45373783,-0.04997917,-0.8897326
8.3,0.45373783,-0.04997917,-0.8897326
8.4,0.45373783,-0.04997917,-0.8897326
8.5,0.45373783,-0.04997917,-0.8897326
8.6,0.45348808,-0.059964005,-0.8892428
8.700000000000001,0.45348808,-0.059964005,-0.8892428
8.8,0.45348808,-0.059964005,-0.8892428
8.9,0.45348808,-0.059964005,-0.8892428
9.0,0.45348808,-0.059964005,-0.8892428
9.1,0.44457313,-0.059964005,-0.8937332
9.200000000000001,0.44457313,-0.059964005,-0.8937332
9.3,0.44457313,-0.059964005,-0.8937332
9.4,0.44457313,-0.059964005,-0.8937332
9.5,0.44457313,-0.059964005,-0.8937332
9.600000000000001,0.44457313,-0.059964005,-0.8937332
9.700000000000001,0.44457313,-0.059964005,-0.8937332
9.8,0.4496813,-0.059964005,-0.89117396
9.9,0.44457313,-0.059964005,-0.8937332
10.0,0.44457313,-0.059964005,-0.8937332
10.100000000000001,0.44457313,-0.059964005,-0.8937332
10.200000000000001,0.44457313,-0.059964005,-0.8937332
10.3,0.44457313,-0.059964005,-0.8937332
10.4,0.44457313,-0.059964005,-0.8937332
10.5,0.44804323,-0.059964005,-0.89199865
10.600000000000001,0.45348808,-0.059964005,-0.8892428
10.700000000000001,0.45348808,-0.059964005,-0.8892428
10.8,0.45348808,-0.059964005,-0.8892428
10.9,0.45348808,-0.059964005,-0.8892428
11.0,0.453193,-0.06994285,-0.88866425
11.100000000000001,0.453193,-0.06994285,-0.88866425
11.200000000000001,0.453193,-0.06994285,-0.88866425
11.3,0.453193,-0.06994285,-0.88866425
11.4,0.453193,-0.06994285,-0.88866425
11.5,0.453193,-0.06994285,-0.88866425
11.600000000000001,0.453193,-0.06994285,-0.88866425
11.700000000000001,0.453193,-0.06994285,-0.88866425
11.8,0.453193,-0.06994285,-0.88866425
11.9,0.46205685,-0.06994285,-0.8840879
12.0,0.46205685,-0.06994285,-0.8840879
12.100000000000001,0.47087446,-0.06994285,-0.87942326
12.200000000000001,0.47144055,-0.04997917,-0.8804805
12.3,0.491932,-0.04997917,-0.86919796
12.4,0.49772185,-0.046540402,-0.8660871
12.5,0.5005447,-0.039989334,-0.86478657
12.600000000000001,0.49786323,-0.039989334,-0.8663331
12.700000000000001,0.49786323,-0.039989334,-0.8663331
12.8,0.4976391,-0.04997917,-0.8659431
12.9,0.49190176,-0.04997917,-0.869215
13.0,0.4976391,-0.04997917,-0.8659431
13.100000000000001,0.4976391,-0.04997917,-0.8659431
13.200000000000001,0.4976391,-0.04997917,-0.8659431
13.3,0.49481398,-0.04997917,-0.8675605
13.4,0.4976391,-0.04997917,-0.8659431
13.5,0.4976391,-0.04997917,-0.8659431
13.600000000000001,0.4976391,-0.04997917,-0.8659431
13.700000000000001,0.5032726,-0.04997917,-0.8626812
13.8,0.5062735,-0.04997917,-0.86092347
13.9,0.5062735,-0.04997917,-0.86092347
14.0,0.4976391,-0.04997917,-0.8659431
14.100000000000001,0.5062735,-0.04997917,-0.86092347
14.200000000000001,0.533188,-0.04997917,-0.84451926
14.3,0.57599974,-0.039989334,-0.81647116
14.4,0.5982029,-0.0299955,-0.8007831
14.5,0.5882794,-0.019998666,-0.8084104
14.600000000000001,0.56587094,-0.017368851,-0.82431084
14.700000000000001,0.5576559,-0.009999833,-0.830012
14.8,0.56594133,-0.0072730095,-0.8244134
14.9,0.5741039,-0.015424765,-0.8186372
15.0,0.5763345,0.012700006,-0.8171152
15.100000000000001,0.5902793,0.022667894,-0.8068808
15.200000000000001,0.5737683,0.037501484,-0.8181586
15.3,0.5739139,0.0299955,-0.81836617
15.4,0.5739139,0.0299955,-0.81836617
15.5,0.565813,0.022497982,-0.82422656
15.600000000000001,0.55743283,0.0299955,-0.82968
15.700000000000001,0.5491083,0.0299955,-0.83521277
15.8,0.5408641,0.019998666,-0.8408722
15.9,0.5408641,0.019998666,-0.8408722
16.0,0.5408641,0.019998666,-0.8408722
16.1,0.54736257,0.01771861,-0.83670795
16.2,0.54094523,0.009999833,-0.84099835
16.3,0.54094523,0.009999833,-0.84099835
16.400000000000002,0.54094523,0.009999833,-0.84099835
16.5,0.54094523,0.009999833,-0.84099835
16.6,0.54094523,0.009999833,-0.84099835
16.7,0.54094523,0.009999833,-0.84099835
16.8,0.54094523,0.009999833,-0.84099835
16.900000000000002,0.54094523,0.009999833,-0.84099835
17.0,0.54094523,0.009999833,-0.84099835
