time,x,y,z,quadrant
0.00,0.0000,-0.0000,-1.0000,0
0.00,0.0000,-0.0000,-1.0000,0
0.99,0.0000,-0.0000,-1.0000,0
1.98,0.0000,-0.0000,-1.0000,0
2.18,0.0000,-0.0000,-1.0000,0
2.23,0.0000,-0.0000,-1.0000,0
2.34,0.0000,-0.0000,-1.0000,0
2.43,0.0000,-0.0000,-1.0000,0
2.54,0.0000,-0.0000,-1.0000,0
2.63,0.0000,-0.0000,-1.0000,0
2.74,0.0000,-0.0000,-1.0000,0
2.84,0.0000,-0.0000,-1.0000,0
2.93,0.0000,-0.0000,-1.0000,0
3.04,0.0000,-0.0000,-1.0000,0
3.13,0.0000,-0.0000,-1.0000,0
3.24,0.0000,-0.0000,-1.0000,0
3.34,0.0000,-0.0000,-1.0000,0
3.43,0.0000,-0.0000,-1.0000,0
3.53,0.0000,-0.0000,-1.0000,0
3.63,0.0000,-0.0000,-1.0000,0
3.73,0.0000,-0.0000,-1.0000,0
3.83,0.0000,-0.0000,-1.0000,0
3.93,0.0000,-0.0000,-1.0000,0
4.04,0.0000,-0.0000,-1.0000,0
4.13,0.0000,-0.0000,-1.0000,0
4.24,0.0000,-0.0000,-1.0000,0
4.34,0.0000,-0.0000,-1.0000,0
4.43,0.0000,-0.0000,-1.0000,0
4.54,0.0000,-0.0000,-1.0000,0
4.63,0.0000,-0.0000,-1.0000,0
4.74,0.0000,-0.0000,-1.0000,0
4.83,0.0000,-0.0000,-1.0000,0
4.94,0.0000,-0.0000,-1.0000,0
5.03,0.0000,-0.0000,-1.0000,0
5.13,0.0000,-0.0000,-1.0000,0
5.24,0.0000,-0.0000,-1.0000,0
5.33,0.0000,-0.0000,-1.0000,0
5.44,0.0000,-0.0000,-1.0000,0
5.53,0.0000,-0.0000,-1.0000,0
5.64,0.0000,-0.0000,-1.0000,0
5.74,0.0000,-0.0000,-1.0000,0
5.83,0.0778,-0.0283,-0.9966,6
5.94,0.5800,-0.1761,-0.7954,6
6.03,0.8087,-0.1969,-0.5543,6
6.13,0.9339,-0.2246,-0.2781,6
6.24,0.9339,-0.2246,-0.2781,6
6.33,0.9339,-0.2246,-0.2781,6
6.44,0.9339,-0.2246,-0.2781,6
6.53,0.9339,-0.2246,-0.2781,6
6.64,0.9339,-0.2246,-0.2781,6
6.73,0.9339,-0.2246,-0.2781,6
6.83,0.9339,-0.2246,-0.2781,6
6.94,0.9339,-0.2246,-0.2781,6
7.03,0.9339,-0.2246,-0.2781,6
7.14,0.9339,-0.2246,-0.2781,6
7.23,0.9339,-0.2246,-0.2781,6
7.34,0.9339,-0.2246,-0.2781,6
7.43,0.9339,-0.2246,-0.2781,6
7.53,0.9044,-0.2246,-0.3627,6
7.63,0.7767,-0.2177,-0.5910,6
7.73,0.7597,-0.2177,-0.6128,6
7.83,0.6347,-0.2177,-0.7415,6
7.93,0.5384,-0.2384,-0.8083,6
8.04,0.4909,-0.2453,-0.8360,6
8.13,0.4841,-0.2521,-0.8379,6
8.24,0.4841,-0.2521,-0.8379,6
8.34,0.4841,-0.2521,-0.8379,6
8.43,0.4841,-0.2521,-0.8379,6
8.54,0.4841,-0.2521,-0.8379,6
8.63,0.4841,-0.2521,-0.8379,6
8.74,0.4841,-0.2521,-0.8379,6
8.83,0.4841,-0.2521,-0.8379,6
8.93,0.4841,-0.2521,-0.8379,6
9.04,0.4841,-0.2521,-0.8379,6
9.13,0.4841,-0.2521,-0.8379,6
9.24,0.4841,-0.2521,-0.8379,6
9.33,0.4841,-0.2521,-0.8379,6
9.44,0.4841,-0.2521,-0.8379,6
9.54,0.4841,-0.2521,-0.8379,6
9.63,0.4841,-0.2521,-0.8379,6
9.73,0.4841,-0.2521,-0.8379,6
9.83,0.4841,-0.2521,-0.8379,6
9.93,0.4841,-0.2521,-0.8379,6
10.04,0.4841,-0.2521,-0.8379,6
10.13,0.4841,-0.2521,-0.8379,6
10.24,0.4841,-0.2521,-0.8379,6
10.33,0.4841,-0.2521,-0.8379,6
10.44,0.4841,-0.2521,-0.8379,6
10.53,0.4841,-0.2521,-0.8379,6
10.63,0.4841,-0.2521,-0.8379,6
10.74,0.4841,-0.2521,-0.8379,6
10.83,0.4841,-0.2521,-0.8379,6
10.94,0.4841,-0.2521,-0.8379,6
11.03,0.4841,-0.2521,-0.8379,6
11.14,0.4841,-0.2521,-0.8379,6
11.23,0.4841,-0.2521,-0.8379,6
11.33,0.4841,-0.2521,-0.8379,6
11.44,0.4841,-0.2521,-0.8379,6
11.53,0.4841,-0.2521,-0.8379,6
11.64,0.4841,-0.2521,-0.8379,6
11.73,0.4841,-0.2521,-0.8379,6
11.84,0.4841,-0.2521,-0.8379,6
11.94,0.4841,-0.2521,-0.8379,6
12.03,0.4841,-0.2521,-0.8379,6
12.14,0.4841,-0.2521,-0.8379,6
12.23,0.4841,-0.2521,-0.8379,6
12.34,0.4841,-0.2521,-0.8379,6
12.44,0.4841,-0.2521,-0.8379,6
12.54,0.4841,-0.2521,-0.8379,6
12.64,0.4841,-0.2521,-0.8379,6
12.73,0.4841,-0.2521,-0.8379,6
12.84,0.3183,-0.2246,-0.9210,6
12.93,-0.3157,-0.1621,-0.9349,4
13.04,-0.6751,-0.1411,-0.7241,4
13.13,-0.7213,-0.1271,-0.6809,4
13.23,-0.7998,-0.1060,-0.5909,4
13.33,-0.9037,-0.0637,-0.4233,4
13.44,-0.9728,-0.0212,-0.2306,4
13.54,-0.9806,-0.0071,-0.1961,4
13.63,-0.9806,-0.0071,-0.1961,4
13.74,-0.9819,-0.0071,-0.1891,4
13.83,-0.9819,-0.0071,-0.1891,4
13.94,-0.9746,-0.0000,-0.2238,0
14.03,-0.7555,0.0212,-0.6548,0
14.13,-0.6818,0.0212,-0.7312,0
14.23,-0.6230,0.0071,-0.7822,0
14.33,-0.6006,-0.0000,-0.7996,0
14.43,-0.4432,-0.0637,-0.8942,4
14.53,-0.2441,-0.0990,-0.9647,4
14.63,-0.1819,-0.1130,-0.9768,4
14.73,-0.1541,-0.1130,-0.9816,4
14.84,-0.1541,-0.1130,-0.9816,4
14.94,-0.1541,-0.1130,-0.9816,4
15.03,-0.1541,-0.1130,-0.9816,4
15.13,-0.1541,-0.1130,-0.9816,4
15.23,-0.1541,-0.1130,-0.9816,4
15.34,-0.1541,-0.1130,-0.9816,4
15.43,-0.1541,-0.1130,-0.9816,4
15.54,-0.1541,-0.1130,-0.9816,4
15.63,-0.1541,-0.1130,-0.9816,4
15.75,-0.1541,-0.1130,-0.9816,4
15.84,-0.1541,-0.1130,-0.9816,4
15.93,-0.1541,-0.1130,-0.9816,4
16.03,-0.1541,-0.1130,-0.9816,4
16.13,-0.1541,-0.1130,-0.9816,4
16.23,-0.1541,-0.1130,-0.9816,4
16.33,-0.1541,-0.1130,-0.9816,4
16.44,-0.1541,-0.1130,-0.9816,4
16.53,-0.1541,-0.1130,-0.9816,4
16.64,-0.1541,-0.1130,-0.9816,4
16.74,-0.1541,-0.1130,-0.9816,4
16.83,-0.1541,-0.1130,-0.9816,4
16.93,-0.1541,-0.1130,-0.9816,4
17.03,-0.1541,-0.1130,-0.9816,4
17.13,-0.1541,-0.1130,-0.9816,4
17.23,-0.1541,-0.1130,-0.9816,4
17.33,-0.1541,-0.1130,-0.9816,4
17.43,-0.1541,-0.1130,-0.9816,4
17.53,-0.1402,-0.1130,-0.9836,4
17.63,-0.0913,-0.1130,-0.9894,4
17.73,-0.0773,-0.1130,-0.9906,4
17.83,-0.0773,-0.1130,-0.9906,4
17.93,-0.0492,-0.1130,-0.9924,4
18.03,-0.0281,-0.1130,-0.9932,4
18.13,-0.0211,-0.1130,-0.9934,4
18.23,0.0141,-0.1130,-0.9935,6
18.33,0.0352,-0.1130,-0.9930,6
18.43,0.0352,-0.1130,-0.9930,6
18.53,0.0352,-0.1130,-0.9930,6
18.63,0.0352,-0.1130,-0.9930,6
18.73,0.0211,-0.0990,-0.9949,6
18.83,-0.0070,-0.0990,-0.9951,4
18.93,-0.0141,-0.0990,-0.9950,4
19.03,-0.0141,-0.0990,-0.9950,4
19.13,-0.0141,-0.0990,-0.9950,4
19.23,-0.0141,-0.0990,-0.9950,4
19.33,-0.0141,-0.0990,-0.9950,4
19.43,-0.0141,-0.0990,-0.9950,4
19.53,-0.0141,-0.0990,-0.9950,4
19.63,-0.0141,-0.0990,-0.9950,4
19.73,-0.0141,-0.0990,-0.9950,4
19.83,-0.0141,-0.0990,-0.9950,4
19.93,-0.0141,-0.0990,-0.9950,4
20.03,-0.0141,-0.0990,-0.9950,4
20.13,-0.0141,-0.0990,-0.9950,4
20.23,-0.0141,-0.0990,-0.9950,4
20.33,-0.0141,-0.0990,-0.9950,4
20.43,-0.0141,-0.0990,-0.9950,4
20.53,-0.0141,-0.0990,-0.9950,4
20.63,-0.0141,-0.0990,-0.9950,4
20.73,-0.0141,-0.0990,-0.9950,4
20.83,-0.0141,-0.0990,-0.9950,4
20.93,-0.0141,-0.0990,-0.9950,4
21.03,-0.0141,-0.0990,-0.9950,4
21.13,-0.0141,-0.0990,-0.9950,4
21.23,-0.0141,-0.0990,-0.9950,4
21.33,-0.0141,-0.0990,-0.9950,4
21.43,-0.0070,-0.0990,-0.9951,4
21.53,0.3375,0.1201,-0.9336,2
21.63,0.6119,0.4121,-0.6751,2
21.73,0.6425,0.6973,-0.3177,2
21.83,0.4357,0.8995,-0.0336,2
21.93,0.3123,0.9477,0.0653,3
22.03,0.2959,0.9500,0.1002,3
22.13,0.3414,0.9228,0.1787,3
22.23,0.4179,0.8698,0.2621,3
22.33,0.6010,0.6395,0.4795,3
22.43,0.6134,0.3862,0.6890,3
22.53,0.5379,0.2315,0.8106,3
22.63,0.4460,0.1130,0.8879,3
22.73,0.3171,0.0849,0.9446,3
22.83,-0.0018,0.0849,0.9964,1
22.93,-0.1839,0.0990,0.9780,1
23.03,-0.2249,0.1130,0.9678,1
23.13,-0.2382,0.1271,0.9629,1
23.23,-0.2382,0.1271,0.9629,1
